,category,first flight,introduced,introduction,ns,number built,pageid,retired,status,title,unit cost,views,built_group,built_number,year
109,Category:1970s Yugoslav civil trainer aircraft|Category:1970s Yugoslav civil trainer aircraft|Category:1970s Yugoslav civil trainer aircraft|Category:1970s Yugoslav civil trainer aircraft|Category:1970s Yugoslav civil trainer aircraft|Category:1970s Yugoslav civil trainer aircraft,19 May 1976,1978,Error,0,136,5485318,Error,active,UTVA 75,}},17.813698630136987,4,136.0,1976.0
110,Category:1940s Yugoslav civil trainer aircraft|Category:1940s Yugoslav civil trainer aircraft|Category:1940s Yugoslav civil trainer aircraft|Category:1940s Yugoslav civil trainer aircraft|Category:1940s Yugoslav civil trainer aircraft|Category:1940s Yugoslav civil trainer aircraft,{{avyear,,Error,0,ca.80,16888941,,,Utva Trojka,Error,3.958904109589041,4,80.0,1940.0
124,Category:1960s Yugoslav agricultural aircraft|Category:1960s Yugoslav agricultural aircraft|Category:1960s Yugoslav agricultural aircraft|Category:1960s Yugoslav agricultural aircraft|Category:1960s Yugoslav agricultural aircraft|Category:1960s Yugoslav agricultural aircraft|Category:1960s Yugoslav agricultural aircraft,1965,,Error,0,69,24168519,,Retired,Utva-65,,3.2986301369863016,4,69.0,1965.0
150,Category:United States civil aircraft|Category:United States business aircraft|Category:Cessna Citation family|Category:United States business aircraft|Category:Cessna Citation family,15 September 1969,Error,1972,0,7000,3098211,Error,Error,Cessna Citation family,Error,293.94520547945206,6,7000.0,1969.0
177,Category:2000s United States civil utility aircraft|Category:2000s United States civil utility aircraft|Category:2000s United States civil utility aircraft|Category:2000s United States civil utility aircraft|Category:Light-sport aircraft|Category:2000s United States civil utility aircraft|Category:2000s United States civil utility aircraft,"November 9, 2006",Error,2008,0,652 (June 2019),6242373,,Kits and complete aircraft both in production (2013),Van's Aircraft RV-12,"[[US$]]67,070 (base kit price, 2015)",62.54794520547945,5,652.0,2006.0
178,Category:2000s United States civil utility aircraft|Category:2000s United States civil utility aircraft|Category:2000s United States civil utility aircraft|Category:2000s United States civil utility aircraft|Category:2000s United States civil utility aircraft|Category:2000s United States civil utility aircraft,29 May 2003,Error,2003,0,925 (June 2019),4960824,,,Van's Aircraft RV-10,"[[US$]]114,230â$127,485",97.53972602739726,5,925.0,2003.0
179,Category:2000s United States civil utility aircraft|Category:2000s United States civil utility aircraft|Category:2000s United States civil utility aircraft|Category:2000s United States civil utility aircraft|Category:2000s United States civil utility aircraft|Category:2000s United States civil utility aircraft,December 1997,Error,2002,0,1123 (June 2019),5225383,,,Van's Aircraft RV-9,[[United States dollar,49.342465753424655,5,1123.0,1997.0
184,Category:2000s United States civil utility aircraft|Category:2000s United States civil utility aircraft|Category:2000s United States helicopters|Category:2000s United States civil utility aircraft|Category:2000s United States helicopters|Category:2000s United States civil utility aircraft|Category:2000s United States civil utility aircraft|Category:2000s United States civil utility aircraft,7 November 2007,,Error,0,763 {{as of,13495960,,In production,Robinson R66,"$879,000 {{as of",189.16986301369863,5,763.0,2007.0
186,Category:2000s United States civil utility aircraft|Category:2000s United States civil utility aircraft|Category:2000s United States civil utility aircraft|Category:2000s United States civil utility aircraft|Category:2000s United States civil utility aircraft|Category:2000s United States civil utility aircraft,"October 16, 2004",January 2008,Error,0,250 (2018),25967240,,In production,Quest Kodiak,[[United States dollar,223.88219178082193,5,250.0,2004.0
187,Category:2000s United States civil utility aircraft|Category:2000s United States civil utility aircraft|Category:2000s United States civil utility aircraft|Category:2000s United States civil utility aircraft|Category:2000s United States civil utility aircraft|Category:2000s United States civil utility aircraft,,Error,,0,132 (October 2012),6598282,,In limited production (2018),Liberty XL2,[[United States dollar,29.583561643835615,4,132.0,2000.0
201,Category:2000s United States civil utility aircraft|Category:2000s United States civil utility aircraft|Category:2000s United States civil utility aircraft|Category:2000s United States civil utility aircraft|Category:2000s United States civil utility aircraft|Category:2000s United States civil utility aircraft,,Error,,0,"5,194 through 2016",4022019,,,Cirrus SR22,SR22: [[United States dollar,658.3890410958904,6,5194.0,2000.0
207,Category:2000s United States civil utility aircraft|Category:2000s United States civil utility aircraft|Category:2000s United States civil utility aircraft|Category:2000s United States civil utility aircraft|Category:2000s United States civil utility aircraft|Category:2000s United States civil utility aircraft|Category:Very light jets|Category:Abandoned civil aircraft projects of the United States,28 July 2003,,Error,0,2,861086,Error,Development ended April 2009,Adam A700,,53.92876712328767,2,2.0,2003.0
208,Category:2000s United States civil utility aircraft|Category:2000s United States experimental aircraft|Category:2000s United States civil utility aircraft|Category:2000s United States civil utility aircraft|Category:2000s United States civil utility aircraft|Category:2000s United States civil utility aircraft|Category:2000s United States civil utility aircraft,"July 11, 2002",,Error,0,7,861056,Error,Production completed,Adam A500,,83.82191780821918,3,7.0,2002.0
219,Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft,1995,Error,1995,0,1522 (June 2019),5224991,,,Van's Aircraft RV-8,"[[USD]]$41,000â98,000",71.61369863013698,5,1522.0,1995.0
220,Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft,2001,Error,2001,0,1763 (June 2019),5223365,,,Van's Aircraft RV-7,"[[USD]]$41,000â$97,000",89.4904109589041,5,1763.0,2001.0
237,Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft|Category:1990s United States helicopters|Category:1990s United States civil utility aircraft|Category:1990s United States helicopters|Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft,31 March 1990,1993,Error,0,"5,805+ (through 2016)",1491866,,In production,Robinson R44,,419.05753424657536,6,5805.0,1990.0
246,Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft|Category:Light-sport aircraft|Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft,13 November 1992,1992,Error,0,480 (2011),4883760,,,Progressive Aerodyne SeaRey,"[[US$]]128,000 (assembled, 2015)",44.07123287671233,5,480.0,1992.0
262,Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft|Category:1990s United States civil utility aircraft,"November 19, 1995",,Error,0,3,32551058,,,Kestrel KL-1,Error,3.76986301369863,2,3.0,1995.0
