,category,first flight,introduced,introduction,ns,number built,pageid,retired,status,title,unit cost,views,built_group,built_number,year
36,Category:Submarine-borne aircraft|Category:World War II Japanese reconnaissance aircraft|Category:World War II Japanese reconnaissance aircraft|Category:1940s Japanese military reconnaissance aircraft|Category:1940s Japanese military reconnaissance aircraft|Category:Submarine-borne aircraft|Category:World War II Japanese reconnaissance aircraft|Category:World War II Japanese reconnaissance aircraft|Category:1940s Japanese military reconnaissance aircraft|Category:1940s Japanese military reconnaissance aircraft|Category:Submarine-borne aircraft|Category:World War II Japanese reconnaissance aircraft|Category:World War II Japanese reconnaissance aircraft|Category:Submarine-borne aircraft|Category:World War II Japanese reconnaissance aircraft|Category:World War II Japanese reconnaissance aircraft|Category:1940s Japanese military reconnaissance aircraft|Category:1940s Japanese military reconnaissance aircraft|Category:Submarine-borne aircraft|Category:World War II Japanese reconnaissance aircraft|Category:World War II Japanese reconnaissance aircraft|Category:1940s Japanese military reconnaissance aircraft|Category:1940s Japanese military reconnaissance aircraft|Category:1940s Japanese military reconnaissance aircraft|Category:World War II Japanese reconnaissance aircraft|Category:1940s Japanese military reconnaissance aircraft|Category:1940s Japanese military reconnaissance aircraft,[[1939 in aviation,Error,1941,0,126,2900851,1943,,Yokosuka E14Y,,58.21643835616438,4,126.0,1939.0
38,Category:Submarine-borne aircraft|Category:1930s Japanese military reconnaissance aircraft|Category:1930s Japanese military reconnaissance aircraft|Category:Submarine-borne aircraft|Category:1930s Japanese military reconnaissance aircraft|Category:1930s Japanese military reconnaissance aircraft|Category:Submarine-borne aircraft|Category:Submarine-borne aircraft|Category:1930s Japanese military reconnaissance aircraft|Category:1930s Japanese military reconnaissance aircraft|Category:Submarine-borne aircraft|Category:1930s Japanese military reconnaissance aircraft|Category:1930s Japanese military reconnaissance aircraft|Category:1930s Japanese military reconnaissance aircraft|Category:1930s Japanese military reconnaissance aircraft|Category:1930s Japanese military reconnaissance aircraft,February [[1935 in aviation,1938,Error,0,35,18302851,1942,,Watanabe E9W,Error,16.81917808219178,3,35.0,1935.0
40,Category:Submarine-borne aircraft|Category:1920s military reconnaissance aircraft|Category:Submarine-borne aircraft|Category:1920s military reconnaissance aircraft|Category:Submarine-borne aircraft|Category:Submarine-borne aircraft|Category:1920s military reconnaissance aircraft|Category:Submarine-borne aircraft|Category:1920s military reconnaissance aircraft,4 June 1925,Error,,0,2,1692873,,,Parnall Peto,,13.057534246575342,2,2.0,1925.0
41,Category:Submarine-borne aircraft|Category:1920s United States military reconnaissance aircraft|Category:1920s United States military reconnaissance aircraft|Category:Submarine-borne aircraft|Category:1920s United States military reconnaissance aircraft|Category:1920s United States military reconnaissance aircraft|Category:Submarine-borne aircraft|Category:Submarine-borne aircraft|Category:1920s United States military reconnaissance aircraft|Category:1920s United States military reconnaissance aircraft|Category:Submarine-borne aircraft|Category:1920s United States military reconnaissance aircraft|Category:1920s United States military reconnaissance aircraft|Category:1920s United States military reconnaissance aircraft|Category:1920s United States military reconnaissance aircraft,[[1922 in aviation,[[1923 in aviation,Error,0,6,33177902,,,Martin MS,Error,6.4520547945205475,3,6.0,1922.0
44,Category:Submarine-borne aircraft|Category:1910s German military reconnaissance aircraft|Category:1910s German military reconnaissance aircraft|Category:Submarine-borne aircraft|Category:1910s German military reconnaissance aircraft|Category:1910s German military reconnaissance aircraft|Category:Submarine-borne aircraft|Category:Submarine-borne aircraft|Category:1910s German military reconnaissance aircraft|Category:1910s German military reconnaissance aircraft|Category:Submarine-borne aircraft|Category:1910s German military reconnaissance aircraft|Category:1910s German military reconnaissance aircraft|Category:1910s German military reconnaissance aircraft|Category:1910s German military reconnaissance aircraft,,,Error,0,3,29165877,,,Hansa-Brandenburg W.20,Error,4.1287671232876715,2,3.0,1910.0
45,Category:Submarine-borne aircraft|Category:1910s German military reconnaissance aircraft|Category:1910s German military reconnaissance aircraft|Category:Submarine-borne aircraft|Category:1910s German military reconnaissance aircraft|Category:1910s German military reconnaissance aircraft|Category:Submarine-borne aircraft|Category:Submarine-borne aircraft|Category:1910s German military reconnaissance aircraft|Category:1910s German military reconnaissance aircraft|Category:Submarine-borne aircraft|Category:1910s German military reconnaissance aircraft|Category:1910s German military reconnaissance aircraft|Category:1910s German military reconnaissance aircraft|Category:1910s German military reconnaissance aircraft,1910s,[[1914 in aviation,Error,0,44,12354465,,,Friedrichshafen FF.29,,8.95068493150685,3,44.0,1910.0
47,Category:Submarine-borne aircraft|Category:1920s United States military reconnaissance aircraft|Category:1920s United States military reconnaissance aircraft|Category:Submarine-borne aircraft|Category:1920s United States military reconnaissance aircraft|Category:1920s United States military reconnaissance aircraft|Category:Submarine-borne aircraft|Category:Submarine-borne aircraft|Category:1920s United States military reconnaissance aircraft|Category:1920s United States military reconnaissance aircraft|Category:Submarine-borne aircraft|Category:1920s United States military reconnaissance aircraft|Category:1920s United States military reconnaissance aircraft|Category:1920s United States military reconnaissance aircraft|Category:1920s United States military reconnaissance aircraft,1922,1923,Error,0,12,14904247,,,Cox-Klemin XS,Error,7.528767123287671,3,12.0,1922.0
51,Category:Submarine-borne aircraft|Category:1940s German military reconnaissance aircraft|Category:1940s German military reconnaissance aircraft|Category:Submarine-borne aircraft|Category:1940s German military reconnaissance aircraft|Category:1940s German military reconnaissance aircraft|Category:Submarine-borne aircraft|Category:Submarine-borne aircraft|Category:1940s German military reconnaissance aircraft|Category:1940s German military reconnaissance aircraft|Category:Submarine-borne aircraft|Category:1940s German military reconnaissance aircraft|Category:1940s German military reconnaissance aircraft|Category:1940s German military reconnaissance aircraft|Category:1940s German military reconnaissance aircraft,1941,,Error,0,6,455699,,,Arado Ar 231,,41.16986301369863,3,6.0,1941.0
52,Category:Submarine-borne aircraft|Category:World War II Japanese dive bombers|Category:World War II Japanese torpedo bombers|Category:World War II Japanese torpedo bombers|Category:World War II Japanese dive bombers|Category:World War II Japanese dive bombers|Category:World War II Japanese torpedo bombers|Category:World War II Japanese dive bombers|Category:Submarine-borne aircraft|Category:World War II Japanese dive bombers|Category:World War II Japanese torpedo bombers|Category:World War II Japanese torpedo bombers|Category:World War II Japanese dive bombers|Category:World War II Japanese dive bombers|Category:World War II Japanese torpedo bombers|Category:World War II Japanese dive bombers|Category:Submarine-borne aircraft|Category:World War II Japanese dive bombers|Category:World War II Japanese torpedo bombers|Category:World War II Japanese torpedo bombers|Category:World War II Japanese dive bombers|Category:World War II Japanese dive bombers|Category:World War II Japanese torpedo bombers|Category:World War II Japanese dive bombers|Category:Submarine-borne aircraft|Category:World War II Japanese dive bombers|Category:World War II Japanese torpedo bombers|Category:World War II Japanese torpedo bombers|Category:World War II Japanese dive bombers|Category:World War II Japanese dive bombers|Category:World War II Japanese torpedo bombers|Category:World War II Japanese dive bombers|Category:World War II Japanese torpedo bombers|Category:World War II Japanese torpedo bombers|Category:World War II Japanese dive bombers|Category:World War II Japanese dive bombers|Category:1940s Japanese bomber aircraft|Category:1940s Japanese bomber aircraft|Category:Submarine-borne aircraft|Category:World War II Japanese dive bombers|Category:World War II Japanese torpedo bombers|Category:World War II Japanese torpedo bombers|Category:World War II Japanese dive bombers|Category:World War II Japanese dive bombers|Category:World War II Japanese torpedo bombers|Category:World War II Japanese dive bombers|Category:World War II Japanese torpedo bombers|Category:World War II Japanese torpedo bombers|Category:World War II Japanese dive bombers|Category:World War II Japanese dive bombers|Category:1940s Japanese bomber aircraft|Category:1940s Japanese bomber aircraft|Category:1940s Japanese bomber aircraft|Category:1940s Japanese bomber aircraft|Category:World War II Japanese torpedo bombers|Category:World War II Japanese dive bombers|Category:1940s Japanese bomber aircraft|Category:1940s Japanese bomber aircraft,1943,1945,Error,0,28 + 1 M6A2 Prototype,597250,1945,,Aichi M6A,,138.29041095890412,3,28.0,1943.0
106,Category:Indian military aircraft procurement programs|Category:Military helicopters|Category:Indian military aircraft procurement programs|Category:Military helicopters|Category:Indian military aircraft procurement programs|Category:Military helicopters|Category:Indian military aircraft procurement programs|Category:Military helicopters|Category:2010s Indian attack aircraft|Category:2010s Indian attack aircraft|Category:Indian military aircraft procurement programs|Category:Military helicopters|Category:2010s Indian attack aircraft|Category:2010s Indian attack aircraft|Category:2010s Indian attack aircraft|Category:2010s Indian attack aircraft|Category:Indian military aircraft procurement programs|Category:2010s Indian attack aircraft|Category:2010s Indian attack aircraft,29 March 2010,,Error,0,4,8139772,,In production,HAL Light Combat Helicopter,US$20.2 million,551.8465753424657,2,4.0,2010.0
